Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",163.07,$17.43B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.79,$559.22M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",3.18,$15.7M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",23.99,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.865,$58.04M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",28.21,$1.82B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.325,$45.48M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",30.52,$3.85B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.25,$125.14M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,32.8,$838.05M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",23.74,$3.16B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",35.28,$2.51B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 DigiTech, Inc.",12.13,$1.78B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,3.01,$112.86M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
FVAM,5:01 Acquisition Corp.,10.0999,$104.63M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fvam
JOBS,"51job, Inc.",73.83,$4.96B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",25.23,$514.03M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
EGHT,8x8 Inc,16.48,$1.72B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",0.7518,$107.08M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
JFU,9F Inc.,1.1,$214.71M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",61.34,$3.21B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
